id_horario,id_clase,id_asignatura,es_hti,dia,periodo
391,18,146,0,Lunes,11
392,18,146,0,Lunes,12
393,18,146,0,Martes,10
394,18,146,0,Martes,11
395,18,145,0,Miércoles,10
396,18,145,0,Miércoles,11
397,18,145,0,Viernes,7
398,18,145,0,Viernes,8
399,18,169,0,Lunes,9
400,18,169,0,Lunes,10
401,18,169,0,Jueves,10
402,18,169,0,Jueves,11
403,18,65,0,Martes,12
404,18,65,0,Martes,13
405,18,65,0,Jueves,12
406,18,64,0,Viernes,11
407,18,64,0,Viernes,12
408,12,63,0,Lunes,2
409,12,63,0,Lunes,3
410,12,63,0,Miércoles,7
411,12,63,0,Miércoles,8
412,12,62,0,Lunes,6
413,12,62,0,Lunes,7
414,12,62,0,Miércoles,3
415,12,62,0,Miércoles,4
416,12,61,0,Lunes,4
417,12,61,0,Lunes,5
418,12,61,0,Miércoles,5
419,12,61,0,Miércoles,6
420,31,121,0,Lunes,12
421,31,121,0,Lunes,13
422,12,121,0,Martes,5
423,12,121,0,Martes,6
424,30,121,0,Martes,8
425,30,121,0,Martes,9
426,30,121,0,Miércoles,8
427,30,121,0,Miércoles,9
428,12,121,0,Jueves,4
429,12,121,0,Jueves,5
430,31,121,0,Jueves,8
431,31,121,0,Jueves,9
432,12,59,0,Martes,3
433,12,59,0,Martes,4
434,12,59,0,Viernes,3
435,12,59,0,Viernes,4
436,12,58,0,Miércoles,2
437,12,58,0,Viernes,1
438,12,58,0,Viernes,2
439,12,51,0,Jueves,1
440,12,51,0,Jueves,2
441,6,56,0,Lunes,5
442,6,56,0,Lunes,6
443,6,56,0,Viernes,4
444,6,56,0,Viernes,5
445,6,55,0,Martes,4
446,6,55,0,Martes,5
447,6,55,0,Jueves,4
448,6,55,0,Jueves,5
449,6,54,0,Lunes,7
450,6,54,0,Lunes,8
451,6,54,0,Miércoles,7
452,6,54,0,Miércoles,8
453,6,177,0,Lunes,3
454,6,177,0,Lunes,4
455,6,177,0,Jueves,2
456,6,177,0,Jueves,3
457,6,52,0,Miércoles,3
458,6,52,0,Viernes,1
459,6,52,0,Viernes,2
460,6,51,0,Martes,1
461,6,51,0,Martes,2
462,21,105,0,Lunes,3
463,21,105,0,Lunes,4
464,22,105,0,Martes,3
465,22,105,0,Martes,4
466,22,105,0,Jueves,3
467,22,105,0,Jueves,4
468,21,105,0,Jueves,5
469,21,105,0,Jueves,6
470,21,104,0,Lunes,1
471,21,104,0,Lunes,2
472,22,104,0,Martes,1
473,22,104,0,Martes,2
474,21,104,0,Miércoles,2
475,21,104,0,Miércoles,3
476,22,104,0,Viernes,3
477,22,104,0,Viernes,4
478,16,97,0,Lunes,7
479,16,97,0,Lunes,8
480,17,97,0,Martes,7
481,17,97,0,Martes,8
482,17,97,0,Miércoles,7
483,17,97,0,Miércoles,8
484,16,97,0,Jueves,5
485,16,97,0,Jueves,6
486,22,103,0,Lunes,7
487,22,103,0,Lunes,8
488,21,103,0,Miércoles,4
489,21,103,0,Miércoles,5
490,22,103,0,Miércoles,6
491,22,103,0,Miércoles,7
492,21,103,0,Viernes,3
493,21,103,0,Viernes,4
494,22,101,0,Lunes,3
495,22,101,0,Lunes,4
496,21,101,0,Martes,3
497,21,101,0,Martes,4
498,22,101,0,Miércoles,4
499,22,101,0,Miércoles,5
500,21,101,0,Jueves,3
501,21,101,0,Jueves,4
502,22,100,0,Lunes,1
503,22,100,0,Lunes,2
504,21,100,0,Martes,1
505,21,100,0,Martes,2
506,22,100,0,Jueves,1
507,22,100,0,Jueves,2
508,21,100,0,Viernes,1
509,21,100,0,Viernes,2
